Time_s,Hour,User_ID,Lat,Lon,Demand_Mbps,TN_Eval_BS,TN_Eval_MHz,TN_Reason,NTN_Eval_Beam,NTN_Eval_MHz,NTN_Reason,Final_State
0,0.0,0.0,184,42.8183,-81.3455,0.1,BS_618,19.56,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,185,46.5404,-80.7164,0.11,BS_402,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,186,43.2175,-79.9645,0.58,BS_154,19.19,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,187,43.303,-79.9084,4.75,BS_118,19.2,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,188,44.3282,-76.561,0.66,BS_256,18.58,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,189,46.4758,-80.9471,0.54,BS_297,19.6,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,190,46.632,-80.972,0.78,BS_300,19.73,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,192,43.7237,-79.4337,3.26,BS_167,19.47,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,193,46.2299,-80.9589,0.49,BS_489,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,194,43.8607,-79.3367,0.41,BS_92,19.88,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,195,43.8852,-79.5089,0.14,BS_418,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,196,42.9235,-81.2809,2.47,BS_717,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,197,44.3295,-76.5986,0.91,BS_216,19.95,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,198,45.3097,-75.5818,0.46,BS_180,19.36,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,200,43.134,-79.8699,0.13,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-2-048-007,299.87,Fully Served,LEO
0,0.0,0.0,201,43.3405,-79.8253,0.77,BS_509,19.93,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,202,43.4248,-80.0568,0.54,BS_368,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,203,42.8426,-81.0467,0.31,BS_549,19.99,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,204,46.7028,-81.3832,4.99,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-2-066-003,300.0,Fully Served,LEO
0,0.0,0.0,205,42.8612,-81.3099,0.39,BS_714,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,206,43.17,-79.9705,0.19,BS_147,19.73,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,207,43.8156,-79.3087,0.11,BS_95,19.21,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,208,42.6762,-81.1287,2.06,BS_198,19.93,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,209,43.7142,-79.3684,0.34,BS_166,19.97,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,210,45.3136,-75.397,0.34,BS_560,19.43,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,211,43.3048,-81.0714,3.73,BS_524,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,213,43.3523,-79.8511,0.64,BS_104,19.92,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,214,43.7761,-79.3488,0.45,BS_93,19.64,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,215,45.4278,-75.6035,0.45,BS_276,19.57,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,217,46.8056,-80.9205,0.19,BS_683,19.9,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,219,45.4366,-75.6139,0.52,BS_276,19.62,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,220,46.565,-81.09,0.81,BS_12,19.96,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,221,45.0885,-75.5244,1.0,BS_689,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,222,47.8968,-80.4282,0.72,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-1-052-006,300.0,Fully Served,LEO
0,0.0,0.0,223,43.1865,-81.203,0.73,BS_242,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,224,42.9215,-79.6908,0.93,BS_320,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,225,44.3903,-76.3994,2.06,BS_90,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,226,44.5375,-76.4899,0.83,BS_69,19.73,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,227,46.6407,-81.1151,0.78,BS_13,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,228,42.9048,-81.4627,0.44,BS_62,19.56,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,229,45.4588,-75.6581,0.9,BS_637,19.94,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,230,43.6307,-79.3289,0.83,BS_177,19.96,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,231,43.3528,-81.2103,0.88,BS_437,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,232,43.6609,-79.3519,0.49,BS_161,18.91,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,233,45.2148,-75.878,0.61,BS_46,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,234,43.7245,-79.2195,0.62,BS_480,19.63,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,235,43.5944,-79.5822,0.3,BS_338,19.84,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,236,42.964,-81.3181,3.03,BS_724,19.48,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,237,44.2733,-76.5744,0.31,BS_251,18.67,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,238,45.1453,-75.8743,4.72,BS_40,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,239,44.2312,-76.5388,0.96,BS_264,18.39,Fully Served,None,0.0,N/A,TN
